Date,1D_Return,Target,1D_Momentum,22D_Momentum,22D_CR
2012-11-02,-0.021116195671156746,1.0,-3.470001220703125,-9.689987182617188,-0.05788582992519853
2012-11-05,0.0038669883407536076,1.0,0.6299896240234375,-8.870010375976562,-0.052915515690970416
2012-11-06,0.01863318155834115,1.0,3.07000732421875,-6.1100006103515625,-0.036081977878660076
2012-11-07,0.001141876000917641,1.0,0.19000244140625,-7.1199951171875,-0.041876127218785975
2012-11-08,0.008969205970755567,0.0,1.5,-4.6299896240234375,-0.027188131983555408
2012-11-09,-0.0010124664362507474,0.0,-0.1699981689453125,-4.2299957275390625,-0.024893129895887434
2012-11-12,-0.0022072390699001687,0.0,-0.3700103759765625,-3.540008544921875,-0.020920326370823084
2012-11-13,-0.0020923088878497254,0.0,-0.3499908447265625,-3.739990234375,-0.02213495240989083
2012-11-14,0.00023930879407796368,0.0,0.0399932861328125,-4.1800079345703125,-0.02470141457730346
2012-11-15,-0.006301992859589767,0.0,-1.0500030517578125,-3.970001220703125,-0.02362151353953834
2012-11-16,-0.0012651232479692354,1.0,-0.209991455078125,-2.470001220703125,-0.014780517048009756
2012-11-19,0.011925176433462248,0.0,1.989990234375,-1.5500030517578125,-0.009190986948166113
2012-11-20,-0.0028634257792106155,1.0,-0.4799957275390625,-2.149993896484375,-0.012762432111523836
2012-11-21,0.0010150660402494793,1.0,0.1699981689453125,-1.2299957275390625,-0.0073138174158904334
2012-11-23,0.012160205973812843,0.0,2.0500030517578125,2.6399993896484375,0.015687524610528136
2012-11-26,-0.0010618685408747552,0.0,-0.1800079345703125,1.8499908447265625,0.010978958829840124
2012-11-27,-0.0042585145282361125,0.0,-0.7199859619140625,3.2800140380859375,0.019633204068096433
2012-11-28,-0.012885721450134113,1.0,-2.160003662109375,1.69000244140625,0.010198950375738036
2012-11-29,0.003775449497570804,0.0,0.6299896240234375,1.1599884033203125,0.006962743699126861
2012-11-30,-0.006782066259329866,1.0,-1.1299896240234375,0.1200103759765625,0.0007229976670206639
2012-12-03,0.00048167758860007126,0.0,0.0800018310546875,-0.6999969482421875,-0.004204697053252104
2012-12-04,-0.010346525202362677,0.0,-1.7100067138671875,-1.6500091552734375,-0.009985311734323155
2012-12-05,-0.0018262807650328838,1.0,-0.3000030517578125,1.519989013671875,0.009304603171800707
2012-12-06,0.0023127323829195134,1.0,0.3800048828125,1.2700042724609375,0.007750347213966613
2012-12-07,0.004004152985563891,1.0,0.660003662109375,-1.1399993896484375,-0.0068786813588106455
2012-12-10,0.0038675379164638812,0.0,0.6399993896484375,-0.69000244140625,-0.004153019443264405
2012-12-11,-0.0009051692074031337,1.0,-0.1500091552734375,-2.3400115966796875,-0.014027394621423106
2012-12-12,0.0007242193101495431,0.0,0.1200103759765625,-2.0500030517578125,-0.012290708875022816
2012-12-13,-0.008481356697993547,0.0,-1.4000091552734375,-3.0800018310546875,-0.018564826503116194
2012-12-14,-0.0014611280186986875,1.0,-0.239990234375,-2.970001220703125,-0.017933645633965156
2012-12-17,0.0018869503829597178,0.0,0.30999755859375,-2.6999969482421875,-0.016286004045083402
2012-12-18,-0.014455725078867054,0.0,-2.3600006103515625,-4.0099945068359375,-0.02443973626436069
2012-12-19,-0.0024091149465750306,0.0,-0.3899993896484375,-4.19000244140625,-0.025583727962966485
2012-12-20,-0.012196073797179352,1.0,-1.9600067138671875,-8.139999389648438,-0.049704978193608085
2012-12-21,0.003749339567436394,1.0,0.600006103515625,-7.05999755859375,-0.043092212846961075
2012-12-24,0.0018070937392540287,1.0,0.2899932861328125,-6.94000244140625,-0.042300185147956526
2012-12-26,0.0009956669468955681,1.0,0.160003662109375,-8.830001831054688,-0.0534647241748738
2012-12-27,0.002360719739152195,0.0,0.3800048828125,-8.269989013671875,-0.05004213589484685
2012-12-28,-0.003854592163680337,1.0,-0.6200103759765625,-8.170013427734375,-0.049638213530291075
2012-12-31,0.009176719889400609,1.0,1.480010986328125,-4.529998779296875,-0.027575772190756354
2013-01-02,0.0070727801089134346,0.0,1.149993896484375,-4.0099945068359375,-0.024278441579413723
2013-01-03,-0.012146779740191072,0.0,-1.970001220703125,-4.850006103515625,-0.02964315506027493
2013-01-04,-0.004725755022232825,0.0,-0.7599945068359375,-5.69000244140625,-0.034850587671107824
2013-01-07,-0.0063151476395502115,1.0,-1.010009765625,-4.9900054931640625,-0.03081921010829536
2013-01-08,0.007062780803268609,0.0,1.1300048828125,-3.55999755859375,-0.021930148539993866
2013-01-09,-0.0004360197219952511,1.0,-0.0699920654296875,-4.0099945068359375,-0.02467890064490863
2013-01-10,0.009241174883853454,0.0,1.489990234375,-3.1800079345703125,-0.019441878746619068
2013-01-11,-0.005695893235337479,1.0,-0.9199981689453125,-4.7400054931640625,-0.02900530989842043
2013-01-14,0.002975797243476741,1.0,0.4799957275390625,-4.1100006103515625,-0.025124343447540554
2013-01-15,0.006294400919113485,1.0,1.0200042724609375,-3.2100067138671875,-0.01955416183857661
2013-01-16,0.0005534660222785703,1.0,0.089996337890625,-1.720001220703125,-0.010519339118304494
2013-01-17,0.004294560017826576,0.0,0.70001220703125,-0.779998779296875,-0.00476365108177923
2013-01-18,-0.00159300219743308,1.0,-0.260009765625,-1.350006103515625,-0.008243603662172028
2013-01-22,0.003550021116017099,0.0,0.5800018310546875,1.589996337890625,0.009762142532712126
2013-01-23,-0.0028144380313381845,0.0,-0.459991455078125,1.5200042724609375,0.009356819447948972
2013-01-24,-0.011028103746167695,0.0,-1.790008544921875,1.69000244140625,0.01052478949896063
