Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01 00:00:00-04:00,172.8300018310547,173.6199951171875,171.77000427246094,172.2899932861328,172.2899932861328,10676400
2012-10-02 00:00:00-04:00,172.47000122070312,172.6999969482422,171.58999633789062,172.10000610351562,172.10000610351562,7053900
2012-10-03 00:00:00-04:00,172.50999450683594,172.61000061035156,171.88999938964844,172.41000366210938,172.41000366210938,5647600
2012-10-04 00:00:00-04:00,173.1999969482422,174.07000732421875,172.9199981689453,173.61000061035156,173.61000061035156,10376800
2012-10-05 00:00:00-04:00,172.8699951171875,173.3699951171875,172.00999450683594,172.6199951171875,172.6199951171875,8871000
2012-10-08 00:00:00-04:00,171.75,172.27999877929688,171.67999267578125,172.0500030517578,172.0500030517578,3749300
2012-10-09 00:00:00-04:00,171.86000061035156,172.1699981689453,170.55999755859375,170.99000549316406,170.99000549316406,7750700
2012-10-10 00:00:00-04:00,170.5399932861328,171.33999633789062,170.3000030517578,170.83999633789062,170.83999633789062,7361300
2012-10-11 00:00:00-04:00,171.3000030517578,171.9499969482422,171.1300048828125,171.32000732421875,171.32000732421875,5714900
2012-10-12 00:00:00-04:00,171.14999389648438,171.41000366210938,169.80999755859375,170.05999755859375,170.05999755859375,8266000
2012-10-15 00:00:00-04:00,169.00999450683594,169.10000610351562,167.52999877929688,168.35000610351562,168.35000610351562,10704900
2012-10-16 00:00:00-04:00,168.8699951171875,169.4499969482422,168.6699981689453,169.4199981689453,169.4199981689453,6204000
2012-10-17 00:00:00-04:00,169.2100067138672,169.9499969482422,168.9199981689453,169.5399932861328,169.5399932861328,5203400
2012-10-18 00:00:00-04:00,168.8000030517578,169.30999755859375,168.58999633789062,168.7899932861328,168.7899932861328,6607100
2012-10-19 00:00:00-04:00,168.4199981689453,168.4499969482422,166.22999572753906,166.97000122070312,166.97000122070312,13860400
2012-10-22 00:00:00-04:00,167.0800018310547,167.6300048828125,167.02999877929688,167.5800018310547,167.5800018310547,6366200
2012-10-23 00:00:00-04:00,166.0399932861328,166.05999755859375,165.1199951171875,165.42999267578125,165.42999267578125,11892500
2012-10-24 00:00:00-04:00,165.77999877929688,165.8300018310547,164.60000610351562,164.86000061035156,164.86000061035156,10794600
2012-10-25 00:00:00-04:00,166.2899932861328,166.52999877929688,165.77000427246094,166.02000427246094,166.02000427246094,7013800
2012-10-26 00:00:00-04:00,166.22999572753906,166.60000610351562,165.77000427246094,165.92999267578125,165.92999267578125,6441300
2012-10-31 00:00:00-04:00,166.47000122070312,167.27999877929688,166.3800048828125,166.8300018310547,166.8300018310547,4681500
2012-11-01 00:00:00-04:00,167.02000427246094,167.0399932861328,166.0399932861328,166.07000732421875,166.07000732421875,6018000
2012-11-02 00:00:00-04:00,164.4499969482422,164.47000122070312,162.3000030517578,162.60000610351562,162.60000610351562,14763100
2012-11-05 00:00:00-05:00,163.1199951171875,163.4199981689453,162.80999755859375,163.22999572753906,163.22999572753906,6156200
2012-11-06 00:00:00-05:00,163.91000366210938,166.77000427246094,163.61000061035156,166.3000030517578,166.3000030517578,16051800
2012-11-07 00:00:00-05:00,166.8699951171875,167.1300048828125,165.0399932861328,166.49000549316406,166.49000549316406,13195200
2012-11-08 00:00:00-05:00,166.13999938964844,168.16000366210938,166.1199951171875,167.99000549316406,167.99000549316406,8829000
2012-11-09 00:00:00-05:00,168.2100067138672,168.5399932861328,167.5500030517578,167.82000732421875,167.82000732421875,7361000
2012-11-12 00:00:00-05:00,168.10000610351562,168.27999877929688,167.2100067138672,167.4499969482422,167.4499969482422,5647600
2012-11-13 00:00:00-05:00,166.66000366210938,167.94000244140625,166.6300048828125,167.10000610351562,167.10000610351562,6463300
2012-11-14 00:00:00-05:00,167.4600067138672,168.0399932861328,166.77999877929688,167.13999938964844,167.13999938964844,8510500
2012-11-15 00:00:00-05:00,167.0,167.0500030517578,165.17999267578125,166.08999633789062,166.08999633789062,10023200
2012-11-16 00:00:00-05:00,165.74000549316406,166.36000061035156,165.47000122070312,165.8800048828125,165.8800048828125,6944000
2012-11-19 00:00:00-05:00,167.75,168.16000366210938,167.3800048828125,167.8699951171875,167.8699951171875,6764500
2012-11-20 00:00:00-05:00,167.75,168.02000427246094,166.83999633789062,167.38999938964844,167.38999938964844,5496100
2012-11-21 00:00:00-05:00,167.19000244140625,167.82000732421875,166.97000122070312,167.55999755859375,167.55999755859375,3810700
2012-11-23 00:00:00-05:00,167.97000122070312,170.00999450683594,167.8000030517578,169.61000061035156,169.61000061035156,6110100
2012-11-26 00:00:00-05:00,169.55999755859375,169.72999572753906,169.25,169.42999267578125,169.42999267578125,5377700
2012-11-27 00:00:00-05:00,169.13999938964844,169.39999389648438,168.6199951171875,168.7100067138672,168.7100067138672,7314400
2012-11-28 00:00:00-05:00,165.42999267578125,166.83999633789062,165.3800048828125,166.5500030517578,166.5500030517578,12880100
2012-11-29 00:00:00-05:00,167.13999938964844,167.5,166.85000610351562,167.17999267578125,167.17999267578125,7446800
2012-11-30 00:00:00-05:00,166.94000244140625,167.22000122070312,165.52999877929688,166.0500030517578,166.0500030517578,8412300
2012-12-03 00:00:00-05:00,166.11000061035156,166.9199981689453,166.0399932861328,166.1300048828125,166.1300048828125,6363400
